siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5
33,Changhua,2024-05-31 02:00,27,Good,20.3,5,3
32,Xitun,2024-05-31 02:00,31,Good,8.7,8.1,6
31,Zhongming,2024-05-31 02:00,26,Good,11.4,5.2,7
30,Dali,2024-05-31 02:00,36,Good,10.1,5,7
29,Shalu,2024-05-31 02:00,28,Good,15.6,9.3,5
28,Fengyuan,2024-05-31 02:00,22,Good,19.3,4.2,3
27,Sanyi,2024-05-31 02:00,26,Good,18,2.9,6
26,Miaoli,2024-05-31 02:00,46,Good,5.2,10.8,16
25,Toufen,2024-05-31 02:00,38,Good,9.4,5.9,11
24,Hsinchu,2024-05-31 02:00,34,Good,18.9,12.7,11
23,Zhudong,2024-05-31 02:00,54,Moderate,8.3,4.5,16
22,Hukou,2024-05-31 02:00,49,Good,12,16.8,14
21,Longtan,2024-05-31 02:00,59,Moderate,0.1,22.4,20
20,Pingzhen,2024-05-31 02:00,41,Good,15.5,20.6,16
19,Guanyin,2024-05-31 02:00,31,Good,18.4,7.6,11
18,Dayuan,2024-05-31 02:00,46,Good,16.2,10.1,21
17,Taoyuan,2024-05-31 02:00,45,Good,14.4,18.2,18
16,Datong,2024-05-31 02:00,40,Good,2.3,18.1,14
15,Songshan,2024-05-31 02:00,46,Good,9.7,12,15
14,Guting,2024-05-31 02:00,25,Good,8.6,4.8,5
13,Wanhua,2024-05-31 02:00,35,Good,6.6,12.8,9
12,Zhongshan,2024-05-31 02:00,34,Good,6.6,11,11
11,Shilin,2024-05-31 02:00,39,Good,8.9,14.5,15
10,Tamsui,2024-05-31 02:00,36,Good,8.7,15.8,11
9,Linkou,2024-05-31 02:00,31,Good,14.3,,12
8,Cailiao,2024-05-31 02:00,36,Good,2.1,17.9,12
7,Xinzhuang,2024-05-31 02:00,50,Good,8.8,17.1,15
6,Banqiao,2024-05-31 02:00,42,Good,2.8,20.9,14
5,Tucheng,2024-05-31 02:00,57,Moderate,1.9,18.6,16
4,Xindian,2024-05-31 02:00,35,Good,9.9,3.9,9
3,Wanli,2024-05-31 02:00,26,Good,6.3,10.9,6
2,Xizhi,2024-05-31 02:00,43,Good,0.6,16,11
1,Keelung,2024-05-31 02:00,22,Good,1.8,13.6,4
313,Pingtung（fangshan）,2024-05-31 01:00,26,Good,29.2,1.8,2
312,Taichung（Rilana Elementary）,2024-05-31 01:00,28,Good,19.7,8.8,6
