site_id,site_name,created_date,PM2.5,SO2,O3
11,Shilin,2024-05-25 01:00,7.0,0.4,7.7
10,Tamsui,2024-05-25 01:00,12.0,0.4,0.7
9,Linkou,2024-05-25 01:00,13.0,0.2,4.1
8,Cailiao,2024-05-25 01:00,7.0,1.0,0.1
7,Xinzhuang,2024-05-25 01:00,6.0,0.2,6.5
6,Banqiao,2024-05-25 01:00,5.0,0.2,3.9
5,Tucheng,2024-05-25 01:00,12.0,0.8,1.4
4,Xindian,2024-05-25 01:00,22.0,1.0,5.2
3,Wanli,2024-05-25 01:00,4.0,0.6,9.7
2,Xizhi,2024-05-25 01:00,8.0,0.5,0.8
1,Keelung,2024-05-25 01:00,4.0,0.0,4.7
313,Pingtung（fangshan）,2024-05-25 00:00,2.0,0.0,19.8
312,Taichung（Rilana Elementary）,2024-05-25 00:00,6.0,0.6,5.5
311,New Taipei(Shulin),2024-05-25 00:00,18.0,0.1,3.6
204,Pingtung（Liuqiu）,2024-05-25 00:00,21.0,1.1,23.7
203,Tainan（Madou）,2024-05-25 00:00,19.0,0.7,8.7
202,Kaohsiung（Hunei）,2024-05-25 00:00,17.0,1.1,8.0
201,Changhua（Yuanlin）,2024-05-25 00:00,15.0,2.4,7.7
85,Dacheng,2024-05-25 00:00,14.0,1.6,9.1
84,FugueiCape,2024-05-25 00:00,5.0,0.2,13.8
83,Mailiao,2024-05-25 00:00,15.0,1.4,7.5
80,Guanshan,2024-05-25 00:00,5.0,0.6,22.6
78,Magong,2024-05-25 00:00,2.0,0.7,33.1
77,Kinmen,2024-05-25 00:00,27.0,1.0,30.9
75,Matsu,2024-05-25 00:00,10.0,0.4,35.0
72,Puli,2024-05-25 00:00,9.0,1.0,13.0
71,Fuxing,2024-05-25 00:00,10.0,1.1,19.6
70,Yonghe,2024-05-25 00:00,13.0,0.7,3.7
