siteid,sitename,datacreationdate,aqi,status,pm2.5,co
48,Qiaotou,2024-05-31 05:00,17,Good,0,0.09
47,Meinong,2024-05-31 05:00,16,Good,0,0.11
46,Tainan,2024-05-31 05:00,26,Good,9,0.08
45,Annan,2024-05-31 05:00,24,Good,7,0.11
44,Shanhua,2024-05-31 05:00,19,Good,4,0.06
43,Xinying,2024-05-31 05:00,19,Good,0,0.09
42,Chiayi,2024-05-31 05:00,18,Good,0,0.08
41,Taixi,2024-05-31 05:00,18,Good,0,0.1
40,Puzi,2024-05-31 05:00,16,Good,,0.09
39,Xingang,2024-05-31 05:00,20,Good,5,0.08
38,Lunbei,2024-05-31 05:00,20,Good,6,0.11
37,Douliu,2024-05-31 05:00,23,Good,4,0.11
36,Nantou,2024-05-31 05:00,28,Good,1,0.15
35,Erlin,2024-05-31 05:00,41,Good,10,0.12
34,Xianxi,2024-05-31 05:00,26,Good,4,0.13
33,Changhua,2024-05-31 05:00,18,Good,5,0.13
32,Xitun,2024-05-31 05:00,24,Good,7,0.17
31,Zhongming,2024-05-31 05:00,23,Good,5,0.18
30,Dali,2024-05-31 05:00,21,Good,6,0.16
29,Shalu,2024-05-31 05:00,22,Good,6,0.16
28,Fengyuan,2024-05-31 05:00,18,Good,3,0.14
27,Sanyi,2024-05-31 05:00,21,Good,5,0.1
26,Miaoli,2024-05-31 05:00,38,Good,10,0.16
25,Toufen,2024-05-31 05:00,34,Good,11,0.18
24,Hsinchu,2024-05-31 05:00,33,Good,13,0.26
23,Zhudong,2024-05-31 05:00,52,Moderate,18,0.23
22,Hukou,2024-05-31 05:00,50,Good,15,0.24
21,Longtan,2024-05-31 05:00,54,Moderate,11,0.26
20,Pingzhen,2024-05-31 05:00,53,Moderate,20,0.41
19,Guanyin,2024-05-31 05:00,44,Good,15,0.23
18,Dayuan,2024-05-31 05:00,52,Moderate,17,0.4
17,Taoyuan,2024-05-31 05:00,57,Moderate,22,0.5
16,Datong,2024-05-31 05:00,38,Good,10,0.47
15,Songshan,2024-05-31 05:00,41,Good,11,0.29
14,Guting,2024-05-31 05:00,23,Good,7,0.21
13,Wanhua,2024-05-31 05:00,28,Good,6,0.24
12,Zhongshan,2024-05-31 05:00,26,Good,5,0.24
11,Shilin,2024-05-31 05:00,42,Good,11,0.3
10,Tamsui,2024-05-31 05:00,38,Good,11,0.44
9,Linkou,2024-05-31 05:00,36,Good,11,0.33
8,Cailiao,2024-05-31 05:00,32,Good,8,0.39
7,Xinzhuang,2024-05-31 05:00,55,Moderate,20,0.43
6,Banqiao,2024-05-31 05:00,41,Good,15,0.45
5,Tucheng,2024-05-31 05:00,56,Moderate,19,0.42
4,Xindian,2024-05-31 05:00,35,Good,9,0.21
3,Wanli,2024-05-31 05:00,22,Good,5,0.29
2,Xizhi,2024-05-31 05:00,46,Good,16,0.37
1,Keelung,2024-05-31 05:00,24,Good,7,0.38
313,Pingtung（fangshan）,2024-05-31 04:00,22,Good,0,0.08
312,Taichung（Rilana Elementary）,2024-05-31 04:00,20,Good,1,0.01
311,New Taipei(Shulin),2024-05-31 04:00,51,Moderate,15,0.28
204,Pingtung（Liuqiu）,2024-05-31 04:00,24,Good,7,0.07
203,Tainan（Madou）,2024-05-31 04:00,18,Good,5,0.08
202,Kaohsiung（Hunei）,2024-05-31 04:00,16,Good,4,0.2
201,Changhua（Yuanlin）,2024-05-31 04:00,36,Good,14,0.17
85,Dacheng,2024-05-31 04:00,15,Good,2,0.06
84,FugueiCape,2024-05-31 04:00,32,Good,15,0.22
83,Mailiao,2024-05-31 04:00,19,Good,3,0.1
80,Guanshan,2024-05-31 04:00,23,Good,5,0.1
78,Magong,2024-05-31 04:00,25,Good,1,0.08
77,Kinmen,2024-05-31 04:00,83,Moderate,32,0.39
75,Matsu,2024-05-31 04:00,40,Good,17,0.21
72,Puli,2024-05-31 04:00,30,Good,6,0.17
71,Fuxing,2024-05-31 04:00,18,Good,2,0.12
70,Yonghe,2024-05-31 04:00,41,Good,6,0.2
69,Zhushan,2024-05-31 04:00,26,Good,7,0.09
68,Zhongli,2024-05-31 04:00,54,Moderate,20,0.61
67,Sanchong,2024-05-31 04:00,39,Good,11,0.33
66,Dongshan,2024-05-31 04:00,25,Good,9,0.38
65,Yilan,2024-05-31 04:00,15,Good,0,0.17
64,Yangming,2024-05-31 04:00,28,Good,6,0.14
63,Hualien,2024-05-31 04:00,20,Good,4,0.15
62,Taitung,2024-05-31 04:00,18,Good,5,0.09
61,Hengchun,2024-05-31 04:00,25,Good,4,0.07
60,Chaozhou,2024-05-31 04:00,15,Good,2,0.07
