level_0,aqi,co,datacreationdate,index,no,no2,o3,pm10,pm2.5,siteid,sitename,so2,status
206,23,0.24,2024-05-31 03:00,206,1.2,3.2,24.0,11.0,5.0,49,Renwu,0.0,Good
207,18,0.35,2024-05-31 03:00,207,1.0,3.5,18.7,14.0,0.0,48,Qiaotou,1.5,Good
208,17,0.11,2024-05-31 03:00,208,1.2,0.8,24.3,15.0,0.0,47,Meinong,0.7,Good
209,27,0.28,2024-05-31 03:00,209,1.1,5.3,20.6,21.0,6.0,46,Tainan,1.5,Good
210,24,0.29,2024-05-31 03:00,210,3.3,5.7,21.0,26.0,6.0,45,Annan,0.8,Good
211,24,0.11,2024-05-31 03:00,211,1.3,2.1,20.5,18.0,3.0,44,Shanhua,0.8,Good
212,19,0.25,2024-05-31 03:00,212,0.9,2.6,19.8,17.0,0.0,43,Xinying,0.3,Good
213,19,0.18,2024-05-31 03:00,213,1.2,1.1,21.9,15.0,2.0,42,Chiayi,1.4,Good
214,19,0.11,2024-05-31 03:00,214,1.3,3.8,20.6,17.0,3.0,41,Taixi,1.4,Good
215,17,0.24,2024-05-31 03:00,215,3.1,4.0,18.7,17.0,,40,Puzi,1.1,Good
216,22,0.14,2024-05-31 03:00,216,1.9,2.4,22.4,14.0,5.0,39,Xingang,0.8,Good
217,20,0.16,2024-05-31 03:00,217,1.6,1.7,20.6,9.0,5.0,38,Lunbei,1.1,Good
218,23,0.21,2024-05-31 03:00,218,1.8,7.9,7.5,10.0,5.0,37,Douliu,1.6,Good
219,28,0.18,2024-05-31 03:00,219,1.6,4.8,4.8,14.0,4.0,36,Nantou,0.5,Good
220,44,0.14,2024-05-31 03:00,220,1.8,7.3,11.7,17.0,13.0,35,Erlin,0.9,Good
221,28,0.18,2024-05-31 03:00,221,1.6,9.1,4.3,20.0,8.0,34,Xianxi,1.3,Good
222,23,0.21,2024-05-31 03:00,222,1.8,5.1,16.2,30.0,3.0,33,Changhua,0.5,Good
223,30,0.18,2024-05-31 03:00,223,0.9,6.5,6.8,28.0,8.0,32,Xitun,1.2,Good
224,26,0.28,2024-05-31 03:00,224,1.3,6.5,6.2,23.0,9.0,31,Zhongming,1.3,Good
225,31,0.35,2024-05-31 03:00,225,1.1,4.6,8.8,21.0,3.0,30,Dali,1.8,Good
226,26,0.27,2024-05-31 03:00,226,0.5,6.2,18.0,34.0,6.0,29,Shalu,1.5,Good
227,19,0.27,2024-05-31 03:00,227,2.5,3.6,19.6,24.0,2.0,28,Fengyuan,0.9,Good
228,24,0.25,2024-05-31 03:00,228,1.3,1.5,20.1,36.0,4.0,27,Sanyi,1.4,Good
229,44,0.22,2024-05-31 03:00,229,1.3,11.0,0.2,23.0,10.0,26,Miaoli,2.0,Good
230,36,0.28,2024-05-31 03:00,230,1.5,4.5,6.7,22.0,9.0,25,Toufen,1.5,Good
231,35,0.31,2024-05-31 03:00,231,0.9,9.4,17.4,15.0,9.0,24,Hsinchu,1.7,Good
232,54,0.29,2024-05-31 03:00,232,0.6,4.6,8.1,24.0,16.0,23,Zhudong,0.4,Moderate
233,51,0.21,2024-05-31 03:00,233,0.6,10.6,17.4,24.0,17.0,22,Hukou,6.1,Moderate
234,59,0.39,2024-05-31 03:00,234,0.7,15.8,4.8,31.0,18.0,21,Longtan,1.7,Moderate
235,44,0.36,2024-05-31 03:00,235,0.8,23.7,4.0,25.0,15.0,20,Pingzhen,0.8,Good
236,35,0.25,2024-05-31 03:00,236,0.4,8.6,19.3,15.0,19.0,19,Guanyin,3.0,Good
237,49,0.29,2024-05-31 03:00,237,1.9,9.8,17.8,20.0,16.0,18,Dayuan,1.5,Good
238,49,0.49,2024-05-31 03:00,238,2.0,20.0,8.0,25.0,22.0,17,Taoyuan,3.9,Good
239,38,1.33,2024-05-31 03:00,239,15.5,13.3,4.8,17.0,12.0,16,Datong,1.2,Good
240,44,0.35,2024-05-31 03:00,240,2.3,13.6,5.7,13.0,13.0,15,Songshan,0.8,Good
241,25,0.48,2024-05-31 03:00,241,1.2,3.6,7.7,16.0,7.0,14,Guting,,Good
242,31,0.63,2024-05-31 03:00,242,2.1,8.8,7.5,18.0,6.0,13,Wanhua,0.7,Good
