siteid,sitename,datacreationdate,aqi,status,pm2.5
311,New Taipei(Shulin),2024-05-31 02:00,52,Moderate,19
204,Pingtung（Liuqiu）,2024-05-31 02:00,25,Good,8
203,Tainan（Madou）,2024-05-31 02:00,18,Good,6
202,Kaohsiung（Hunei）,2024-05-31 02:00,16,Good,6
201,Changhua（Yuanlin）,2024-05-31 02:00,40,Good,10
85,Dacheng,2024-05-31 02:00,18,Good,5
84,FugueiCape,2024-05-31 02:00,28,Good,7
83,Mailiao,2024-05-31 02:00,22,Good,7
80,Guanshan,2024-05-31 02:00,21,Good,3
78,Magong,2024-05-31 02:00,27,Good,1
77,Kinmen,2024-05-31 02:00,78,Moderate,26
75,Matsu,2024-05-31 02:00,38,Good,9
72,Puli,2024-05-31 02:00,33,Good,8
71,Fuxing,2024-05-31 02:00,18,Good,3
70,Yonghe,2024-05-31 02:00,59,Moderate,12
69,Zhushan,2024-05-31 02:00,24,Good,3
68,Zhongli,2024-05-31 02:00,51,Moderate,19
67,Sanchong,2024-05-31 02:00,39,Good,11
66,Dongshan,2024-05-31 02:00,24,Good,7
65,Yilan,2024-05-31 02:00,19,Good,6
64,Yangming,2024-05-31 02:00,25,Good,8
63,Hualien,2024-05-31 02:00,22,Good,6
62,Taitung,2024-05-31 02:00,17,Good,1
61,Hengchun,2024-05-31 02:00,25,Good,3
60,Chaozhou,2024-05-31 02:00,18,Good,0
59,Pingtung,2024-05-31 02:00,21,Good,1
58,Xiaogang,2024-05-31 02:00,33,Good,4
57,Qianzhen,2024-05-31 02:00,16,Good,0
56,Qianjin,2024-05-31 02:00,18,Good,2
54,Zuoying,2024-05-31 02:00,29,Good,6
53,Nanzi,2024-05-31 02:00,22,Good,3
52,Linyuan,2024-05-31 02:00,27,Good,5
51,Daliao,2024-05-31 02:00,23,Good,5
50,Fengshan,2024-05-31 02:00,21,Good,0
49,Renwu,2024-05-31 02:00,24,Good,4
48,Qiaotou,2024-05-31 02:00,18,Good,3
47,Meinong,2024-05-31 02:00,18,Good,0
46,Tainan,2024-05-31 02:00,28,Good,9
45,Annan,2024-05-31 02:00,25,Good,6
44,Shanhua,2024-05-31 02:00,26,Good,6
43,Xinying,2024-05-31 02:00,20,Good,3
42,Chiayi,2024-05-31 02:00,20,Good,3
41,Taixi,2024-05-31 02:00,21,Good,3
40,Puzi,2024-05-31 02:00,19,Good,
39,Xingang,2024-05-31 02:00,25,Good,5
38,Lunbei,2024-05-31 02:00,22,Good,4
37,Douliu,2024-05-31 02:00,23,Good,5
36,Nantou,2024-05-31 02:00,27,Good,5
35,Erlin,2024-05-31 02:00,45,Good,15
34,Xianxi,2024-05-31 02:00,32,Good,11
