siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5,no,so2,co,pm10
84,FugueiCape,2024-05-30 23:00,34,Good,27.2,4.6,8,0.1,0.3,0.16,29
83,Mailiao,2024-05-30 23:00,25,Good,16.8,8.2,8,1,1.3,0.2,19
80,Guanshan,2024-05-30 23:00,18,Good,9.8,2.7,1,0.4,0.4,0.13,16
78,Magong,2024-05-30 23:00,28,Good,26.2,6.3,0,1.4,0.9,0.15,4
77,Kinmen,2024-05-30 23:00,74,Moderate,11.2,21.7,24,1,1.7,0.34,31
75,Matsu,2024-05-30 23:00,41,Good,39.8,5.4,11,0.5,1.1,0.21,24
72,Puli,2024-05-30 23:00,37,Good,8.8,6.9,7,1.6,0.9,0.25,20
71,Fuxing,2024-05-30 23:00,20,Good,20.1,8.2,5,1.4,2.2,0.17,7
70,Yonghe,2024-05-30 23:00,41,Good,5.9,10.4,11,5.4,1,0.49,16
69,Zhushan,2024-05-30 23:00,40,Good,7.4,4.5,7,0.8,0.8,0.13,25
68,Zhongli,2024-05-30 23:00,49,Good,14.5,24.3,17,16.7,2,0.63,30
67,Sanchong,2024-05-30 23:00,50,Good,8.2,30.9,12,25.2,1.1,0.84,22
66,Dongshan,2024-05-30 23:00,27,Good,7.5,14.7,8,1.7,0.4,0.7,28
65,Yilan,2024-05-30 23:00,31,Good,18.9,4.1,4,0.4,1.1,0.2,13
64,Yangming,2024-05-30 23:00,24,Good,33.5,3.3,9,0.5,0.9,0.18,18
63,Hualien,2024-05-30 23:00,28,Good,18.3,3.5,7,0.3,0.3,0.21,14
62,Taitung,2024-05-30 23:00,22,Good,17,3.4,4,1.8,0.1,0.16,18
61,Hengchun,2024-05-30 23:00,28,Good,24.3,2,5,0.6,0.6,0.11,12
60,Chaozhou,2024-05-30 23:00,21,Good,11,4.1,5,0,0.5,0.09,26
59,Pingtung,2024-05-30 23:00,23,Good,19.7,6.7,4,0.5,0.6,0.21,20
58,Xiaogang,2024-05-30 23:00,26,Good,27.1,4.3,10,0.6,9.7,0.11,9
57,Qianzhen,2024-05-30 23:00,18,Good,18.8,11.1,3,2.7,1.5,0.24,9
56,Qianjin,2024-05-30 23:00,23,Good,14.9,14.5,1,0,2.7,0.12,11
54,Zuoying,2024-05-30 23:00,29,Good,19,11.6,9,0.1,3.1,0.3,14
53,Nanzi,2024-05-30 23:00,22,Good,20.7,10.8,7,0.5,0.7,0.29,20
52,Linyuan,2024-05-30 23:00,30,Good,30.2,1.1,3,0.7,0.8,0.1,17
